STT,Hạng mục,Trạng thái,Ghi chú
1,"Luồng hủy đăng ký + đếm lần + email cảnh báo (lần 3-4)","Hoàn thành","Bảng enrollment_cancel_stats; API cancel"
2,"Lần 5 đã thanh toán: xóa dữ liệu học; chưa TT: khóa tài khoản","Hoàn thành","Owner mở khóa qua UI/API"
3,"Đăng ký lại cùng khóa; giữ tiến độ khi đủ điều kiện","Hoàn thành","Enroll + checkout + thanh toán"
4,"Cùng base_course: chặn khóa mới khi còn enrollment active","Hoàn thành","Enroll + checkout init"
5,"Tự tạm khóa 3 ngày; khóa abuse; trang thông báo","Hoàn thành","Layout guard + API"
6,"Sửa migration trùng version 20260324120000","Hoàn thành","File questions RLS đổi sang 20260324120100"
7,"Quiz: học viên thấy câu hỏi sau khi thu hẹp RLS","Hoàn thành","GET /api/quiz/questions dùng admin"
8,"Tiến độ: bài không câu hỏi không còn điểm 1/1 ảo","Hoàn thành","Trang progress"
9,"Preview bài không câu hỏi: thông báo rõ","Hoàn thành","Learn preview"
10,"CSRF production; kiểm tra env Vercel","Hoàn thành","lib/csrf.ts; check-production-env.mjs"
11,"Bảo vệ /admin /owner; redirect khi sai role","Hoàn thành","proxy.ts"
12,"CSRF + rate limit: avatar; profile; hỏi đáp bài","Hoàn thành","API routes"
13,"Tài liệu UAT sau deploy","Hoàn thành","docs/CHECKLIST_UAT_SAU_DEPLOY.md"
14,"Chạy migration Supabase trên DB production","Việc vận hành","Bắt buộc nếu chưa chạy"
15,"Cấu hình NEXT_PUBLIC_SITE_URL; RESEND (email)","Việc vận hành","CSRF và email thật"
16,"Kiểm thử tay theo checklist UAT","Chưa hoặc đang làm","Sau mỗi lần deploy"
17,"Commit và push GitHub","Phía team","Theo quy trình repo"
18,"Upstash Redis (rate limit đa instance)","Tùy chọn","Khi scale nhiều instance"
